max_depth,train_accuracy,validation_accuracy
1,0.9271356783919598,0.9529411764705882
2,0.964824120603015,0.9411764705882353
3,0.9798994974874372,0.9411764705882353
4,0.992462311557789,0.9294117647058824
5,0.9949748743718593,0.9294117647058824
6,1.0,0.9294117647058824
7,1.0,0.9294117647058824
8,1.0,0.9294117647058824
9,1.0,0.9294117647058824
10,1.0,0.9294117647058824
11,1.0,0.9294117647058824
12,1.0,0.9294117647058824
13,1.0,0.9294117647058824
14,1.0,0.9294117647058824
15,1.0,0.9294117647058824
16,1.0,0.9294117647058824
17,1.0,0.9294117647058824
18,1.0,0.9294117647058824
19,1.0,0.9294117647058824
20,1.0,0.9294117647058824
